"individual_id","genotyped","genotyping_status","selection_proportion","selection_seed"
"775",FALSE,"not_genotyped",0.5,20260812
"2166",TRUE,"genotyped",0.5,20260812
"2167",TRUE,"genotyped",0.5,20260812
"2465",TRUE,"genotyped",0.5,20260812
"3881",TRUE,"genotyped",0.5,20260812
"3889",TRUE,"genotyped",0.5,20260812
"3895",TRUE,"genotyped",0.5,20260812
"4248",FALSE,"not_genotyped",0.5,20260812
"5131",TRUE,"genotyped",0.5,20260812
"6387",FALSE,"not_genotyped",0.5,20260812
"12867",TRUE,"genotyped",0.5,20260812
"13098",FALSE,"not_genotyped",0.5,20260812
"13302",FALSE,"not_genotyped",0.5,20260812
"13350",TRUE,"genotyped",0.5,20260812
"13396",FALSE,"not_genotyped",0.5,20260812
"13421",TRUE,"genotyped",0.5,20260812
"13469",FALSE,"not_genotyped",0.5,20260812
"13569",FALSE,"not_genotyped",0.5,20260812
"13728",FALSE,"not_genotyped",0.5,20260812
"13767",FALSE,"not_genotyped",0.5,20260812
"13954",TRUE,"genotyped",0.5,20260812
"14103",FALSE,"not_genotyped",0.5,20260812
"14431",TRUE,"genotyped",0.5,20260812
"15200",TRUE,"genotyped",0.5,20260812
"15292",TRUE,"genotyped",0.5,20260812
"16004",TRUE,"genotyped",0.5,20260812
"16122",TRUE,"genotyped",0.5,20260812
"16262",FALSE,"not_genotyped",0.5,20260812
"19627",TRUE,"genotyped",0.5,20260812
"19630",FALSE,"not_genotyped",0.5,20260812
"20010",TRUE,"genotyped",0.5,20260812
"20424",TRUE,"genotyped",0.5,20260812
"20585",FALSE,"not_genotyped",0.5,20260812
"20934",TRUE,"genotyped",0.5,20260812
"27001",TRUE,"genotyped",0.5,20260812
"30709",TRUE,"genotyped",0.5,20260812
"31089",FALSE,"not_genotyped",0.5,20260812
"39359",FALSE,"not_genotyped",0.5,20260812
"41263",FALSE,"not_genotyped",0.5,20260812
"41418",TRUE,"genotyped",0.5,20260812
"41471",FALSE,"not_genotyped",0.5,20260812
"41484",TRUE,"genotyped",0.5,20260812
"41542",FALSE,"not_genotyped",0.5,20260812
"41660",TRUE,"genotyped",0.5,20260812
"41669",TRUE,"genotyped",0.5,20260812
"41686",FALSE,"not_genotyped",0.5,20260812
"41709",FALSE,"not_genotyped",0.5,20260812
"41761",TRUE,"genotyped",0.5,20260812
"41800",TRUE,"genotyped",0.5,20260812
"41804",TRUE,"genotyped",0.5,20260812
"41948",TRUE,"genotyped",0.5,20260812
"42066",TRUE,"genotyped",0.5,20260812
"42076",TRUE,"genotyped",0.5,20260812
"42083",FALSE,"not_genotyped",0.5,20260812
"42174",TRUE,"genotyped",0.5,20260812
"42237",TRUE,"genotyped",0.5,20260812
"42274",FALSE,"not_genotyped",0.5,20260812
