"repeat","fold","model","n_training","n_testing","predictive_correlation","rmse","mae","genetic_variance","residual_variance","variance_ratio","lambda"
1,1,"PBLUP",479,120,0.52076200966961,0.876325761783401,0.728562335340121,0.235842760318023,0.636590644383329,0.270327521902667,2.69921639114517
1,1,"ssGBLUP",479,120,0.579934121103021,0.835899408494901,0.709589363569539,0.306049650178619,0.598799127686461,0.338232926501508,1.9565424346572
1,2,"PBLUP",479,120,0.295723855815487,1.01039805393786,0.800590983471474,0.409874136842725,0.39501668071891,0.509229485415689,0.963751174352541
1,2,"ssGBLUP",479,120,0.448391754675789,0.93150512071964,0.722594223777098,0.428002155319959,0.439461168570644,0.493395102170262,1.02677326062089
1,3,"PBLUP",479,120,0.484508334743147,0.860085957196417,0.685089581417399,0.263803332860092,0.608467227176887,0.302432920410507,2.30651834675488
1,3,"ssGBLUP",479,120,0.499779416425553,0.850811155103205,0.664638682876208,0.350196250877787,0.550954976698457,0.388609858324981,1.57327491461561
1,4,"PBLUP",479,120,0.365820677132417,0.880439554181218,0.660268229043932,0.284318417013931,0.579941785352188,0.328973168306884,2.03976158647427
1,4,"ssGBLUP",479,120,0.303031655239198,0.938847856201124,0.712466932679418,0.469919287557069,0.43080640956919,0.521711869724972,0.916766817145957
1,5,"PBLUP",480,119,0.448399434550485,0.935524543017932,0.725292313659626,0.23782073990728,0.604632230312515,0.282295568196802,2.5423864653194
1,5,"ssGBLUP",480,119,0.493864126867687,0.90985961819154,0.722319470936571,0.3100104121095,0.558194956935181,0.357070369710586,1.80056841683762
2,1,"PBLUP",479,120,0.47762319209322,0.936945438421594,0.767100129482806,0.217195337745616,0.625878729972458,0.257623079705788,2.8816398016126
2,1,"ssGBLUP",479,120,0.549804000710931,0.901413913658036,0.739552844717698,0.294424800349704,0.572817782386387,0.339495322543796,1.94554868240047
2,2,"PBLUP",479,120,0.501190585092619,0.933222263707409,0.728747048734508,0.25099587514861,0.587422094750583,0.29936843455155,2.34036553151633
2,2,"ssGBLUP",479,120,0.563118635949857,0.891830102545008,0.704000941842438,0.307030798256183,0.570281269597865,0.349967599336912,1.85740737683921
