"evaluation_group","model","metric","n_splits","total_testing_predictions","mean","standard_deviation","median","minimum","maximum"
"overall","PBLUP","predictive_correlation",25,2995,0.42686071932306,0.0638321274253627,0.44010043375814,0.261764593239774,0.52076200966961
"overall","PBLUP","rmse",25,2995,0.909843193079193,0.0416348883889026,0.911332024804459,0.847114960423018,1.01039805393786
"overall","PBLUP","mae",25,2995,0.719513794332177,0.0363493184018264,0.71662732699614,0.653702384474104,0.800590983471474
"overall","ssGBLUP","predictive_correlation",25,2995,0.457629333984952,0.0867404635829142,0.458986944731959,0.25027733834725,0.579934121103021
"overall","ssGBLUP","rmse",25,2995,0.893347205365932,0.0460155863024682,0.901331483582038,0.80945041206153,0.996161489895858
"overall","ssGBLUP","mae",25,2995,0.708613909631162,0.0361512127020991,0.712466932679418,0.62665802563979,0.794636518264815
"genotyped","PBLUP","predictive_correlation",25,1500,0.391958055034996,0.0953184694216589,0.404381714154031,0.136780719950748,0.543366497263017
"genotyped","PBLUP","rmse",25,1500,0.913793726739193,0.0769640963563439,0.925495288485048,0.747361038590561,1.06316797290421
"genotyped","PBLUP","mae",25,1500,0.722057999730741,0.0643920394660507,0.725012976271099,0.581457988522952,0.848299641672448
"genotyped","ssGBLUP","predictive_correlation",25,1500,0.435813961927868,0.122333003223919,0.460160809087178,0.126597840831423,0.609989236613169
"genotyped","ssGBLUP","rmse",25,1500,0.894032798349537,0.0919016797125187,0.901999022088544,0.72300269076165,1.09151340811771
"genotyped","ssGBLUP","mae",25,1500,0.710559884084296,0.0708587033753868,0.7152443616697,0.550421201388825,0.857568997488295
"not_genotyped","PBLUP","predictive_correlation",25,1495,0.454262889023063,0.0791354845853309,0.469186648602403,0.316780491049761,0.590774029533987
"not_genotyped","PBLUP","rmse",25,1495,0.90274402740034,0.0608843173161017,0.922509842957568,0.740126811061776,1.00284489216208
"not_genotyped","PBLUP","mae",25,1495,0.718033508460454,0.0558950694475723,0.730779454939707,0.55117797713616,0.826138091522453
"not_genotyped","ssGBLUP","predictive_correlation",25,1495,0.480273556292707,0.0857451228762819,0.481736026280034,0.29439772128276,0.614513541105303
"not_genotyped","ssGBLUP","rmse",25,1495,0.888031250287931,0.0592923753742491,0.88481133472736,0.741681935326126,0.981401680814552
"not_genotyped","ssGBLUP","mae",25,1495,0.706957563019626,0.0536416979834854,0.706792518976073,0.557357828918205,0.796437990545593
