"repeat","fold","genotyping_status","n_testing"
1,1,"genotyped",58
1,1,"not_genotyped",62
1,2,"genotyped",60
1,2,"not_genotyped",60
1,3,"genotyped",63
1,3,"not_genotyped",57
1,4,"genotyped",62
1,4,"not_genotyped",58
1,5,"genotyped",57
1,5,"not_genotyped",62
2,1,"genotyped",57
2,1,"not_genotyped",63
2,2,"genotyped",69
2,2,"not_genotyped",51
2,3,"genotyped",55
2,3,"not_genotyped",65
2,4,"genotyped",59
2,4,"not_genotyped",61
2,5,"genotyped",60
2,5,"not_genotyped",59
3,1,"genotyped",63
3,1,"not_genotyped",57
3,2,"genotyped",52
3,2,"not_genotyped",68
3,3,"genotyped",62
3,3,"not_genotyped",58
3,4,"genotyped",61
3,4,"not_genotyped",59
3,5,"genotyped",62
3,5,"not_genotyped",57
4,1,"genotyped",57
4,1,"not_genotyped",63
4,2,"genotyped",58
4,2,"not_genotyped",62
4,3,"genotyped",62
4,3,"not_genotyped",58
4,4,"genotyped",64
4,4,"not_genotyped",56
4,5,"genotyped",59
4,5,"not_genotyped",60
5,1,"genotyped",56
5,1,"not_genotyped",64
5,2,"genotyped",60
5,2,"not_genotyped",60
5,3,"genotyped",67
5,3,"not_genotyped",53
5,4,"genotyped",59
5,4,"not_genotyped",61
5,5,"genotyped",58
5,5,"not_genotyped",61
