"metric","value"
"individuals_total",599
"individuals_genotyped",300
"individuals_not_genotyped",299
"markers_total",1279
"markers_retained_partial_maf_0.05",1183
"markers_removed_partial_maf_0.05",96
"G22_raw_mean_diagonal",2
"G22_raw_mean_off_diagonal",-0.00668896321070237
"G22_raw_minimum_eigenvalue",-2.46330733588707e-15
"G22_alignment_alpha",0.369834325288889
"G22_alignment_beta",0.804559170688887
"G22_aligned_mean_diagonal",1.97895266666667
"G22_aligned_mean_off_diagonal",0.364452658595318
"G22_aligned_minimum_eigenvalue",0.00983415529334574
"H_inverse_minimum_eigenvalue",0.00474065907536581
"H_minimum_eigenvalue",0.000989043520887234
"H_maximum_eigenvalue",210.941133733112
"H_asymmetry_before_symmetrization",4.86277684785819e-14
"H_asymmetry_after_symmetrization",0
"H_inverse_reconstruction_residual",1.71740399679265e-12
