"evaluation_group","repeat","fold","correlation_difference","rmse_difference","mae_difference"
"overall",1,1,0.0591721114334115,-0.0404263532884994,-0.0189729717705823
"overall",1,2,0.152667898860302,-0.0788929332182157,-0.0779967596943758
"overall",1,3,0.015271081682406,-0.00927480209321185,-0.0204508985411912
"overall",1,4,-0.0627890218932191,0.0584083020199062,0.0521987036354865
"overall",1,5,0.0454646923172017,-0.0256649248263922,-0.00297284272305431
"overall",2,1,0.0721808086177103,-0.0355315247635574,-0.027547284765108
"overall",2,2,0.0619280508572388,-0.0413921611624007,-0.0247461068920699
"overall",2,3,0.0078403740052036,-0.00998734042852645,-0.000183346239366666
"overall",2,4,-0.0114872548925236,0.028332895081153,0.0184380464692872
"overall",2,5,-0.03648004913043,0.0259354533749487,0.0199667375332271
"overall",3,1,-0.0483428101796818,0.030959104663365,0.0317935390933353
"overall",3,2,0.0768138536304583,-0.0307561641452672,-0.025849566828118
"overall",3,3,0.0134986100426026,-0.0184565287111577,-0.0202719276272636
"overall",3,4,0.0669124324502328,-0.0289872148455388,-0.0184849569880488
"overall",3,5,-0.0373600408061583,-0.00568435751081553,0.010959860558756
"overall",4,1,0.0553838233034825,-0.0353356183891149,-0.0148066655313857
"overall",4,2,0.0964792085906678,-0.0565657683325352,-0.0352965894132196
"overall",4,3,-0.0520461804446883,0.0222201774885522,0.00413241506939077
"overall",4,4,0.0549082686845931,-0.0282771825980656,-0.0170944513593211
"overall",4,5,0.0543164297849875,-0.0260959857652484,-0.0351881674032622
"overall",5,1,0.0403776699852294,-0.0181440061184669,-0.00620249453518795
"overall",5,2,-0.0106065875858631,-0.00593918371512403,-0.0219833239577407
"overall",5,3,0.124457722324354,-0.0625428133103496,-0.0463546672662285
"overall",5,4,-0.00167987000562259,-0.00118844432134224,-0.000226389491331913
"overall",5,5,0.0323341449154144,-0.0191123179156235,0.00464299114200006
"genotyped",1,1,0.146021451109679,-0.0683383231199328,-0.0435313919351576
"genotyped",1,2,0.178517539968004,-0.0774772695716273,-0.108939993556151
"genotyped",1,3,0.0570221925219633,-0.0243583478289108,-0.0310367871341268
"genotyped",1,4,-0.0710674834205222,0.0975869274704422,0.0952485973048351
"genotyped",1,5,0.031866276453979,-0.0507788211398235,-0.00883181070665739
"genotyped",2,1,0.148965635407596,-0.0537746556425633,-0.0410811865768237
"genotyped",2,2,0.0256195406834022,-0.0356028553272973,-0.0129888781220223
"genotyped",2,3,0.0459090832899584,-0.0264885229074224,-0.0164364623486642
"genotyped",2,4,-0.0101828791193254,0.021802880947675,0.0309587848821872
"genotyped",2,5,-0.0484967706940701,0.036015014149719,0.0279017581014803
"genotyped",3,1,-0.0813621026858948,0.0502135280839543,0.0617425794188807
"genotyped",3,2,0.0366159381077233,-0.0173618307320752,-0.0316117506460687
"genotyped",3,3,0.0282240359136748,-0.0256130402220588,-0.0317948159830671
"genotyped",3,4,0.116479511218737,-0.0492612979584069,-0.0272714733235574
"genotyped",3,5,-0.00821421920474058,-0.000648596030576432,0.0254363602622333
"genotyped",4,1,0.180653435917643,-0.0850414513655594,-0.0273550243826446
"genotyped",4,2,0.0966521520044447,-0.0493760889846359,-0.0352249323347068
"genotyped",4,3,-0.149538852728289,0.0696588871320879,0.0357821881449151
"genotyped",4,4,0.106103253745019,-0.0461610396020369,-0.0323595803888952
"genotyped",4,5,0.020522443453719,-0.023513184275571,-0.0395628848248633
"genotyped",5,1,0.0605473882638538,-0.0244829089223216,-0.00574175033302227
"genotyped",5,2,-0.0243562184218116,0.00410063249434667,-0.0418322855646039
"genotyped",5,3,0.138012530856651,-0.0725090992153706,-0.0391374046238219
"genotyped",5,4,-0.00501215429163882,0.00222606834289707,0.0161207514743846
"genotyped",5,5,0.0768959439720421,-0.0448398155163214,-0.00590549796519169
"not_genotyped",1,1,0.0237395115713153,-0.0187820172144114,0.00400103418982689
"not_genotyped",1,2,0.13463766426348,-0.0807493448940273,-0.0470535258326005
"not_genotyped",1,3,-0.00216451948089358,0.00318126640496308,-0.00875070588584104
"not_genotyped",1,4,0.0167403435252986,0.00155512426434989,0.00617985178204494
"not_genotyped",1,5,0.00101193375750974,-0.00208084065542424,0.0024136278425162
"not_genotyped",2,1,0.0141807413846095,-0.0184438689378592,-0.0153023259830797
"not_genotyped",2,2,0.110206455901896,-0.0494572905490912,-0.0406529458162519
"not_genotyped",2,3,-0.0171978494822951,0.00445845111788556,0.0135692904685003
"not_genotyped",2,4,-0.0618782687918585,0.0355593431028299,0.00632782406992471
"not_genotyped",2,5,-0.0171587595119244,0.0168311973078711,0.0118972250909356
"not_genotyped",3,1,-0.0203027453430821,0.00854509878475895,-0.00130803179279404
"not_genotyped",3,2,0.0999532179361391,-0.040726778665952,-0.0214431909673322
"not_genotyped",3,3,0.00408293168112228,-0.0105127240268131,-0.00795435731588723
