"repeat","fold","model","genotyping_status","n_testing","predictive_correlation","rmse","mae"
1,1,"PBLUP","genotyped",58,0.393862319396511,0.810400458575448,0.682719592455802
1,1,"PBLUP","not_genotyped",62,0.590774029533987,0.933793723360231,0.771447481909323
1,1,"ssGBLUP","genotyped",58,0.53988377050619,0.742062135455515,0.639188200520644
1,1,"ssGBLUP","not_genotyped",62,0.614513541105303,0.915011706145819,0.77544851609915
1,2,"PBLUP","genotyped",60,0.243183144205196,1.06316797290421,0.848299641672448
1,2,"PBLUP","not_genotyped",60,0.346202977805842,0.954715830073827,0.7528823252705
1,2,"ssGBLUP","genotyped",60,0.4217006841732,0.985690703332587,0.739359648116297
1,2,"ssGBLUP","not_genotyped",60,0.480840642069322,0.8739664851798,0.705828799437899
1,3,"PBLUP","genotyped",63,0.420024725644782,0.747361038590561,0.581457988522952
1,3,"PBLUP","not_genotyped",57,0.518998271769067,0.969546697895265,0.799629763037578
1,3,"ssGBLUP","genotyped",63,0.477046918166745,0.72300269076165,0.550421201388825
1,3,"ssGBLUP","not_genotyped",57,0.516833752288173,0.972727964300229,0.790879057151737
1,4,"PBLUP","genotyped",62,0.341411588821746,0.993926480647265,0.76232040018346
1,4,"PBLUP","not_genotyped",58,0.340905416958361,0.740126811061776,0.55117797713616
1,4,"ssGBLUP","genotyped",62,0.270344105401224,1.09151340811771,0.857568997488295
1,4,"ssGBLUP","not_genotyped",58,0.357645760483659,0.741681935326126,0.557357828918205
1,5,"PBLUP","genotyped",57,0.543366497263017,0.958305188503375,0.737274637254551
1,5,"PBLUP","not_genotyped",62,0.396472789665771,0.914080277623259,0.714276306483646
1,5,"ssGBLUP","genotyped",57,0.575232773716996,0.907526367363551,0.728442826547894
1,5,"ssGBLUP","not_genotyped",62,0.397484723423281,0.911999436967835,0.716689934326162
2,1,"PBLUP","genotyped",57,0.434818551437006,0.963003256616471,0.782147606775721
2,1,"PBLUP","not_genotyped",63,0.519696577734206,0.912728510470421,0.753485745265406
2,1,"ssGBLUP","genotyped",57,0.583784186844602,0.909228600973908,0.741066420198898
2,1,"ssGBLUP","not_genotyped",63,0.533877319118815,0.894284641532562,0.738183419282326
2,2,"PBLUP","genotyped",69,0.524740805707653,0.941061767670967,0.725012976271099
2,2,"PBLUP","not_genotyped",51,0.465744362438026,0.922509842957568,0.733799029126179
2,2,"ssGBLUP","genotyped",69,0.550360346391055,0.90545891234367,0.712024098149077
2,2,"ssGBLUP","not_genotyped",51,0.575950818339922,0.873052552408476,0.693146083309927
2,3,"PBLUP","genotyped",55,0.333604219827749,0.986840916602449,0.792335881528292
2,3,"PBLUP","not_genotyped",65,0.492512032560086,0.938580881564771,0.736763295355542
2,3,"ssGBLUP","genotyped",55,0.379513303117707,0.960352393695027,0.775899419179627
2,3,"ssGBLUP","not_genotyped",65,0.475314183077791,0.943039332682657,0.750332585824043
2,4,"PBLUP","genotyped",59,0.136780719950748,0.901169553298849,0.691735921843326
2,4,"PBLUP","not_genotyped",61,0.393963438175519,0.791327619422574,0.616915848330102
2,4,"ssGBLUP","genotyped",59,0.126597840831423,0.922972434246524,0.722694706725513
2,4,"ssGBLUP","not_genotyped",61,0.332085169383661,0.826886962525404,0.623243672400027
2,5,"PBLUP","genotyped",60,0.435597275672675,0.820535632945549,0.650169783517698
2,5,"PBLUP","not_genotyped",59,0.469186648602403,0.927865634071617,0.737314217653456
2,5,"ssGBLUP","genotyped",60,0.387100504978605,0.856550647095268,0.678071541619178
2,5,"ssGBLUP","not_genotyped",59,0.452027889090479,0.944696831379488,0.749211442744392
3,1,"PBLUP","genotyped",63,0.252440297766624,0.979850840782293,0.774995421687046
3,1,"PBLUP","not_genotyped",57,0.38533145826656,0.948748890978414,0.749411332180591
3,1,"ssGBLUP","genotyped",63,0.171078195080729,1.03006436886625,0.836738001105927
3,1,"ssGBLUP","not_genotyped",57,0.365028712923477,0.957293989763173,0.748103300387797
3,2,"PBLUP","genotyped",52,0.447288668075924,0.928874757037563,0.772530740916184
3,2,"PBLUP","not_genotyped",68,0.378008521102117,0.966232530358868,0.747192983174178
3,2,"ssGBLUP","genotyped",52,0.483904606183647,0.911512926305488,0.740918990270115
3,2,"ssGBLUP","not_genotyped",68,0.477961739038256,0.925505751692916,0.725749792206845
3,3,"PBLUP","genotyped",62,0.464275194447295,0.892461422325824,0.716194270832908
3,3,"PBLUP","not_genotyped",58,0.513366394328533,0.851575682406078,0.673254087188481
3,3,"ssGBLUP","genotyped",62,0.49249923036097,0.866848382103765,0.684399454849841
3,3,"ssGBLUP","not_genotyped",58,0.517449326009655,0.841062958379265,0.665299729872594
3,4,"PBLUP","genotyped",61,0.385680390715314,0.870268254262122,0.670959748871856
3,4,"PBLUP","not_genotyped",59,0.524999526754978,0.833445114922276,0.707413845161384
3,4,"ssGBLUP","genotyped",61,0.502159901934052,0.821006956303715,0.643688275548298
3,4,"ssGBLUP","not_genotyped",59,0.555068421599046,0.825816476946324,0.698013252520217
3,5,"PBLUP","genotyped",62,0.449497570838981,0.884498241852516,0.675263415680023
3,5,"PBLUP","not_genotyped",57,0.518071581392203,0.939649975915606,0.737261831053865
3,5,"ssGBLUP","genotyped",62,0.441283351634241,0.88384964582194,0.700699775942256
3,5,"ssGBLUP","not_genotyped",57,0.482891346356447,0.928777103900915,0.732475323514102
4,1,"PBLUP","genotyped",57,0.372457004986377,0.846613765714656,0.646850314904973
4,1,"PBLUP","not_genotyped",63,0.489391655828995,0.931622962934689,0.730779454939707
4,1,"ssGBLUP","genotyped",57,0.55311044090402,0.761572314349096,0.619495290522328
4,1,"ssGBLUP","not_genotyped",63,0.481736026280034,0.934841766992759,0.727326066464222
4,2,"PBLUP","genotyped",58,0.387447022717701,0.925495288485048,0.733362053893271
4,2,"PBLUP","not_genotyped",62,0.480863598791838,0.894479411843654,0.700972259898825
4,2,"ssGBLUP","genotyped",58,0.484099174722146,0.876119199500412,0.698137121558564
4,2,"ssGBLUP","not_genotyped",62,0.585738697824224,0.830863080114848,0.665608636444416
4,3,"PBLUP","genotyped",62,0.525936100831358,0.821943181671093,0.679462173524785
4,3,"PBLUP","not_genotyped",58,0.364451224043485,1.00284489216208,0.826138091522453
4,3,"ssGBLUP","genotyped",62,0.376397248103069,0.891602068803181,0.7152443616697
4,3,"ssGBLUP","not_genotyped",58,0.41089363758548,0.981401680814552,0.796437990545593
4,4,"PBLUP","genotyped",64,0.302590970109762,1.02004629153308,0.78089583064947
4,4,"PBLUP","not_genotyped",56,0.579907341739996,0.840100855793064,0.667982887654925
4,4,"ssGBLUP","genotyped",64,0.408694223854781,0.973885251931039,0.748536250260575
4,4,"ssGBLUP","not_genotyped",56,0.575048187135702,0.835890300222473,0.668334298043689
4,5,"PBLUP","genotyped",59,0.439638365633459,0.925512206364115,0.756687289508237
4,5,"PBLUP","not_genotyped",60,0.348310592405667,0.825597064811655,0.661914390334175
4,5,"ssGBLUP","genotyped",59,0.460160809087178,0.901999022088544,0.717124404683374
4,5,"ssGBLUP","not_genotyped",60,0.42109495062959,0.796542120172742,0.631028028395487
5,1,"PBLUP","genotyped",56,0.321062619657647,0.873669476066917,0.694102628792658
5,1,"PBLUP","not_genotyped",64,0.472417590505168,0.868411010360431,0.713398164688156
5,1,"ssGBLUP","genotyped",56,0.381610007921501,0.849186567144595,0.688360878459636
5,1,"ssGBLUP","not_genotyped",64,0.508419854336184,0.855808952440719,0.706792518976073
5,2,"PBLUP","genotyped",60,0.318982088584579,1.01007724377065,0.811245135724815
5,2,"PBLUP","not_genotyped",60,0.554455202133207,0.899295007022792,0.704414895030948
5,2,"ssGBLUP","genotyped",60,0.294625870162768,1.01417787626499,0.769412850160211
5,2,"ssGBLUP","not_genotyped",60,0.591375787135664,0.881920043592031,0.70228053268007
5,3,"PBLUP","genotyped",67,0.471976705756518,0.826068320414785,0.609973576342642
5,3,"PBLUP","not_genotyped",53,0.434377040571571,0.926798179998883,0.752703651580475
5,3,"ssGBLUP","genotyped",67,0.609989236613169,0.753559221199414,0.57083617171882
5,3,"ssGBLUP","not_genotyped",53,0.541002878005032,0.875011006508963,0.697225274936109
5,4,"PBLUP","genotyped",59,0.404381714154031,0.974129389338124,0.765353817713763
5,4,"PBLUP","not_genotyped",61,0.461383461419221,0.889632729048241,0.698397833216442
5,4,"ssGBLUP","genotyped",59,0.399369559862392,0.976355457681021,0.781474569188148
5,4,"ssGBLUP","not_genotyped",61,0.46215782279571,0.88481133472736,0.682360274594335
5,5,"PBLUP","genotyped",58,0.447906813672246,0.879562222505898,0.710099144200545
5,5,"PBLUP","not_genotyped",61,0.316780491049761,0.944890547950461,0.71191001431885
5,5,"ssGBLUP","genotyped",58,0.524802757644288,0.834722406989577,0.704193646235354
5,5,"ssGBLUP","not_genotyped",61,0.29439772128276,0.947886842480838,0.726582716415229
