"metric","value"
"markers_total",1279
"markers_retained_maf_0.05",1183
"markers_removed_maf_0.05",96
"A_mean_diagonal",1.9803081803005
"A_mean_off_diagonal",0.374588832569332
"G_mean_diagonal",2
"G_mean_off_diagonal",-0.00334448160535089
"G_maximum_asymmetry",0
"G_minimum_eigenvalue",1.70679442786543e-13
"G_negative_eigenvalues",0
"G_near_zero_eigenvalues",1
"A_G_pearson_off_diagonal",0.246947591915256
"A_G_spearman_off_diagonal",0.118753771312833
"G_alignment_alpha",0.377269499260035
"G_alignment_beta",0.801519340520232
"G_aligned_mean_diagonal",1.9803081803005
"G_aligned_mean_off_diagonal",0.374588832569332
"G_aligned_minimum_eigenvalue",0.00166750702058778
"G_aligned_maximum_asymmetry",0
