"repeat","fold","n_testing","phenotype_mean","phenotype_sd","phenotype_minimum","phenotype_maximum"
1,1,120,-0.0534517189003046,1.00628691032759,-2.14879132873378,2.27981313507113
1,2,120,-0.0134411401482187,1.04648852703136,-2.41866172921982,3.27892080508434
1,3,120,-0.0883822237451815,0.973777952956073,-2.28909755016522,2.52690454198022
1,4,120,-0.0445782679611859,0.94618695854779,-2.31129831401605,2.23440988544957
1,5,119,0.201532790677201,1.01441256356291,-2.32277332365134,2.59396290204909
2,1,120,0.0694187724010511,1.04766599759304,-2.41866172921982,2.52690454198022
2,2,120,-0.11749833007761,1.05254330436567,-2.31129831401605,2.33609687644057
2,3,120,0.121714628945731,1.05413176137182,-2.32277332365134,3.27892080508434
2,4,120,-0.00621706914266185,0.84809940433231,-2.04514161430622,2.08261236622153
2,5,119,-0.0679845399595061,0.979269973796967,-2.28909755016522,1.8362539265709
3,1,120,0.0511784749701251,1.01516826539769,-2.14879132873378,3.27892080508434
3,2,120,-0.0587553478213453,1.03252485190773,-2.31129831401605,2.59396290204909
3,3,120,0.114037747056056,0.983492641642577,-2.32277332365134,2.33971284824899
3,4,120,-0.132214887413467,0.940975561307266,-2.28909755016522,1.73852495877561
3,5,119,0.0259704334876956,1.02328091990334,-2.41866172921982,2.52690454198022
4,1,120,-0.171159406008519,0.973039780652333,-2.26872920446055,2.59396290204909
4,2,120,0.151961201539664,0.999163813981665,-2.31129831401605,2.52690454198022
4,3,120,0.0160284192844025,1.01621131136799,-2.22424623595239,2.33971284824899
4,4,120,-0.0396710521657648,1.03976142653403,-2.41866172921982,3.27892080508434
4,5,119,0.0432008443867746,0.957838930202352,-2.13250316743456,2.39853754278111
5,1,120,-0.111384568733949,0.948521995544636,-2.04514161430622,2.27981313507113
5,2,120,0.133913104412068,1.05855312815378,-2.13250316743456,3.27892080508434
5,3,120,-0.107156433530028,0.970437435814458,-2.41866172921982,1.8362539265709
5,4,120,0.170527737267945,1.01964031281401,-2.32277332365134,2.33971284824899
5,5,119,-0.0866216868060866,0.975997137628279,-2.15730189301262,2.59396290204909
