"repeat","fold","model","n_training","n_testing","predictive_correlation","rmse","mae","genetic_variance","residual_variance","variance_ratio","lambda"
1,1,"PBLUP",479,120,0.52076200966961,0.876325761783401,0.728562335340121,0.235842760318023,0.636590644383329,0.270327521902667,2.69921639114517
1,1,"GBLUP",479,120,0.538139597689476,0.845623837428318,0.686115434216236,0.294688423340319,0.569142253472626,0.341141419551752,1.93133563586024
1,2,"PBLUP",479,120,0.295723855815487,1.01039805393786,0.800590983471474,0.409874136842725,0.39501668071891,0.509229485415689,0.963751174352541
1,2,"GBLUP",479,120,0.512249870970937,0.904244832103493,0.704611932322633,0.273172774356259,0.55201139522124,0.331044613345074,2.02074089016401
1,3,"PBLUP",479,120,0.484508334743147,0.860085957196417,0.685089581417399,0.263803332860092,0.608467227176887,0.302432920410507,2.30651834675488
1,3,"GBLUP",479,120,0.464833002500684,0.868899036205619,0.681705708119504,0.300557042537265,0.558753951106181,0.349765154595445,1.85906124970238
1,4,"PBLUP",479,120,0.365820677132417,0.880439554181218,0.660268229043932,0.284318417013931,0.579941785352188,0.328973168306884,2.03976158647427
1,4,"GBLUP",479,120,0.357776445190288,0.916516515734815,0.70342104012482,0.356893014810507,0.501393523631868,0.415820356984975,1.40488466522127
1,5,"PBLUP",480,119,0.448399434550485,0.935524543017932,0.725292313659626,0.23782073990728,0.604632230312515,0.282295568196802,2.5423864653194
1,5,"GBLUP",480,119,0.536516539785988,0.88804186241885,0.696687900948549,0.263220801394632,0.578774621258358,0.312615477843414,2.19881794368764
2,1,"PBLUP",479,120,0.47762319209322,0.936945438421594,0.767100129482806,0.217195337745616,0.625878729972458,0.257623079705788,2.8816398016126
2,1,"GBLUP",479,120,0.519046813061402,0.902857932830583,0.737993108038087,0.270919025538485,0.56084678003459,0.325715512375296,2.07016387616129
2,2,"PBLUP",479,120,0.501190585092619,0.933222263707409,0.728747048734508,0.25099587514861,0.587422094750583,0.29936843455155,2.34036553151633
2,2,"GBLUP",479,120,0.560308364640754,0.881871936009502,0.702131483997429,0.248159396071145,0.590134743164965,0.296029024248313,2.37804714432726
2,3,"PBLUP",479,120,0.428334117945146,0.961000950996627,0.762234064018052,0.284334339725496,0.53837332847203,0.345607985335114,1.89345166324894
2,3,"GBLUP",479,120,0.543889860477581,0.897483729646863,0.70846424360241,0.271550298428801,0.561787632613245,0.325858560271271,2.06881611201964
2,4,"PBLUP",479,120,0.261764593239774,0.847114960423018,0.653702384474104,0.343924028636278,0.538274332785758,0.389848863561591,1.56509661427297
2,4,"GBLUP",479,120,0.318950573463571,0.839353124438775,0.64495286058945,0.344989085900627,0.533220038417473,0.392832500081913,1.54561422436148
2,5,"PBLUP",480,119,0.455163366119861,0.87539603020709,0.693375847500973,0.276010078178508,0.589559703951031,0.318876749023571,2.13600788725453
2,5,"GBLUP",480,119,0.434217741116762,0.900016519305115,0.713075574880637,0.301125864132791,0.548854374298487,0.354273958990562,1.82267430225274
3,1,"PBLUP",479,120,0.314035708596173,0.965202385232492,0.76284297917148,0.352786342544197,0.460646533870099,0.433700619649551,1.30573800149984
3,1,"GBLUP",479,120,0.33501259801916,0.961552279927625,0.763124682993695,0.33071634982462,0.48366770093068,0.406093844197829,1.46248500017363
3,2,"PBLUP",479,120,0.40035029741069,0.950224503853407,0.758172678195714,0.255346888028936,0.580363868506137,0.305544575120255,2.27284488558314
3,2,"GBLUP",479,120,0.572699860219744,0.860718215445651,0.68535341640692,0.262456544611747,0.587015979264618,0.308964136254918,2.2366216096192
3,3,"PBLUP",479,120,0.488895880326655,0.872939118186665,0.695439848738102,0.241925236631368,0.625445463843188,0.278917925748478,2.58528408425702
3,3,"GBLUP",479,120,0.473496588791775,0.875116061477392,0.692065574646858,0.289936225327242,0.558992929644315,0.34153170924723,1.92798581485772
3,4,"PBLUP",479,120,0.462391935770779,0.852362362851248,0.688883012880874,0.273774854935575,0.608740651907445,0.310221013469708,2.22350826211083
3,4,"GBLUP",479,120,0.529562719937648,0.810283688001508,0.649286790386436,0.283836462264172,0.594907983425204,0.323002283151277,2.09595334820483
3,5,"PBLUP",480,119,0.496346985538117,0.911332024804459,0.704960135649006,0.256500588004367,0.599615673671475,0.299609526750805,2.33767757936393
3,5,"GBLUP",480,119,0.583471143391406,0.834043751118934,0.670930931077144,0.264439580918798,0.588819534189861,0.309917088767487,2.22666944238833
4,1,"PBLUP",479,120,0.450365582184382,0.892254038153721,0.690913113423208,0.270096718126216,0.595077624037219,0.312187619261591,2.20320197951883
4,1,"GBLUP",479,120,0.596977663060312,0.806899833416909,0.651641384261401,0.239656902998928,0.627215405557206,0.276461597208131,2.61713890861725
4,2,"PBLUP",479,120,0.44010043375814,0.909602480077697,0.71662732699614,0.214250879082697,0.650155577797332,0.247858952669106,3.03455267292688
4,2,"GBLUP",479,120,0.546788752803421,0.844522580038874,0.662513553141438,0.264662007487904,0.590206111911998,0.309593961316151,2.23003716141227
4,3,"PBLUP",479,120,0.437572642426573,0.913861284742706,0.750355533890324,0.280805947485147,0.565779765690015,0.33169228244116,2.01484253007121
4,3,"GBLUP",479,120,0.508875716292681,0.872752858086349,0.71423055128698,0.270168807095867,0.568971442194867,0.321959061461087,2.1059849518193
4,4,"PBLUP",479,120,0.419974715081185,0.940366652970805,0.728203123918682,0.310443878281759,0.515471772641517,0.375878430121429,1.66043465084428
4,4,"GBLUP",479,120,0.440952060243116,0.93544159881647,0.728470257664179,0.326445267708259,0.503374528115713,0.393392962364936,1.54198751799819
4,5,"PBLUP",480,119,0.398708279991531,0.876559491953629,0.708902634462491,0.283360841176883,0.574957404842421,0.330134938283148,2.02906443407794
4,5,"GBLUP",480,119,0.448066672889583,0.856434810328938,0.681005119114931,0.332996066842819,0.530927942454697,0.385446015227183,1.594397037444
5,1,"PBLUP",479,120,0.412044041888097,0.870868912339819,0.704393581270257,0.2626768019339,0.610928758269474,0.300681238650483,2.32578116442581
5,1,"GBLUP",479,120,0.495519662194236,0.829296908946164,0.680516727295782,0.281032359256594,0.586816932548202,0.323826224104134,2.08807602832816
5,2,"PBLUP",479,120,0.451594951608983,0.956291678317716,0.757830015377881,0.30435000933893,0.507404596924385,0.374928589244378,1.6671745732044
5,2,"GBLUP",479,120,0.458273553873037,0.94148351202026,0.718003706210353,0.333860155120057,0.492509389883398,0.404008300086447,1.47519667241001
5,3,"PBLUP",479,120,0.445654793445006,0.871993225371879,0.673012692906018,0.277445232330655,0.591787508833518,0.319184056457733,2.13298856809417
5,3,"GBLUP",479,120,0.536921179975585,0.817348492751414,0.63253535341274,0.272920468398178,0.599048656065853,0.312993270909601,2.19495686630535
5,4,"PBLUP",479,120,0.430334846369051,0.932134583949598,0.731317858927625,0.259551699429338,0.582497583810744,0.308238133557482,2.24424492342546
5,4,"GBLUP",479,120,0.469683548591509,0.906337840052681,0.726896421400239,0.301120204766003,0.528839472044608,0.362813053669251,1.75624041055486
5,5,"PBLUP",480,119,0.383856722279373,0.913633570301423,0.711027405353626,0.270035864044121,0.585306483962829,0.315705009430828,2.16751388203456
5,5,"GBLUP",480,119,0.517238167806154,0.843199080689361,0.658914916193958,0.27829235054383,0.57995423282018,0.324256869690091,2.0839747541995
