"repeat","fold","correlation_difference","rmse_difference","mae_difference"
1,1,0.0173775880198661,-0.0307019243550823,-0.0424469011238854
1,2,0.21652601515545,-0.106153221834363,-0.0959790511488412
1,3,-0.0196753322424629,0.00881307900920247,-0.00338387329789502
1,4,-0.00804423194212961,0.0360769615535965,0.043152811080888
1,5,0.0881171052355026,-0.0474826805990816,-0.0286044127110764
2,1,0.0414236209681816,-0.0340875055910108,-0.029107021444719
2,2,0.0591177795481357,-0.0513503276979076,-0.0266155647370795
2,3,0.115555742532435,-0.0635172213497648,-0.0537698204156422
2,4,0.0571859802237971,-0.00776183598424285,-0.00874952388465344
2,5,-0.020945625003099,0.0246204890980257,0.0196997273796642
3,1,0.0209768894229872,-0.0036501053048672,0.000281703822214929
3,2,0.172349562809055,-0.0895062884077562,-0.0728192617887934
3,3,-0.0153992915348793,0.00217694329072737,-0.00337427409124347
3,4,0.0671707841668688,-0.0420786748497403,-0.0395962224944377
3,5,0.0871241578532886,-0.0772882736855246,-0.034029204571862
4,1,0.14661208087593,-0.0853542047368118,-0.0392717291618077
4,2,0.106688319045281,-0.0650799000388232,-0.0541137738547021
4,3,0.0713030738661081,-0.0411084266563576,-0.0361249826033441
4,4,0.0209773451619318,-0.00492505415433542,0.000267133745496917
4,5,0.0493583928980518,-0.0201246816246917,-0.0278975153475609
5,1,0.0834756203061393,-0.0415720033936543,-0.0238768539744746
5,2,0.00667860226405426,-0.0148081662974561,-0.0398263091675278
5,3,0.0912663865305791,-0.054644732620465,-0.0404773394932777
5,4,0.0393487022224576,-0.0257967438969167,-0.00442143752738611
5,5,0.133381445526782,-0.0704344896120623,-0.0521124891596675
